rowid,order,family,genus,species,longitude,latitude,year,source
3114,Primates,Atelidae,Alouatta,Alouatta guariba,-51.27333333,-28.0025,2009,atlantic_primates
3115,Primates,Atelidae,Alouatta,Alouatta guariba,-52.885,-28.89805556,2008,atlantic_primates
3116,Primates,Atelidae,Alouatta,Alouatta guariba,-52.90361111,-28.88416667,2009,atlantic_primates
3117,Primates,Atelidae,Alouatta,Alouatta guariba,-52.86805556,-28.88944444,2009,atlantic_primates
3118,Primates,Atelidae,Alouatta,Alouatta guariba,-53.17111111,-29.53305556,2009,atlantic_primates
3119,Primates,Atelidae,Alouatta,Alouatta guariba,-51.75916667,-30.21055556,2009,atlantic_primates
3120,Primates,Atelidae,Alouatta,Alouatta guariba,-52.87027778,-28.89777778,2009,atlantic_primates
3121,Primates,Atelidae,Alouatta,Alouatta guariba,-52.87944444,-28.96583333,2009,atlantic_primates
3122,Primates,Atelidae,Alouatta,Alouatta guariba,-52.81138889,-28.90083333,2009,atlantic_primates
3123,Primates,Atelidae,Alouatta,Alouatta guariba,-52.83861111,-28.89,2009,atlantic_primates
3124,Primates,Atelidae,Alouatta,Alouatta guariba,-52.83805556,-29.01138889,2009,atlantic_primates
3125,Primates,Atelidae,Alouatta,Alouatta guariba,-52.70638889,-28.82555556,2009,atlantic_primates
3126,Primates,Atelidae,Alouatta,Alouatta guariba,-52.715,-28.85138889,2009,atlantic_primates
3127,Primates,Atelidae,Alouatta,Alouatta guariba,-52.83944444,-28.72277778,2009,atlantic_primates
3128,Primates,Atelidae,Alouatta,Alouatta guariba,-53.4002778,-29.56805556,2009,atlantic_primates
3129,Primates,Atelidae,Alouatta,Alouatta guariba,-53.35348029,-29.97073923,2005,atlantic_primates
3130,Primates,Atelidae,Alouatta,Alouatta guariba,-51.5038889,-30.44111111,2009,atlantic_primates
3131,Primates,Atelidae,Alouatta,Alouatta guariba,-53.35861921,-29.9684614,2005,atlantic_primates
3132,Primates,Atelidae,Alouatta,Alouatta guariba,-53.38036942,-29.97548913,2005,atlantic_primates
3133,Primates,Atelidae,Alouatta,Alouatta guariba,-53.51709292,-29.99926644,2005,atlantic_primates
3134,Primates,Atelidae,Alouatta,Alouatta guariba,-53.49409291,-30.03062772,2005,atlantic_primates
3135,Primates,Atelidae,Alouatta,Alouatta guariba,-53.35623027,-29.964267,2007,atlantic_primates
3136,Primates,Atelidae,Alouatta,Alouatta guariba,-53.54361111,-30.02833333,2009,atlantic_primates
3137,Primates,Atelidae,Alouatta,Alouatta guariba,-53.54583333,-30.02972222,2009,atlantic_primates
3138,Primates,Atelidae,Alouatta,Alouatta guariba,-53.50194444,-30.00305556,2009,atlantic_primates
3139,Primates,Atelidae,Alouatta,Alouatta guariba,-53.54916667,-29.99833333,2009,atlantic_primates
3140,Primates,Atelidae,Alouatta,Alouatta guariba,-53.53027778,-30.02111111,2009,atlantic_primates
3141,Primates,Atelidae,Alouatta,Alouatta guariba,-51.4738889,-30.32416667,2009,atlantic_primates
3142,Primates,Atelidae,Alouatta,Alouatta guariba,-53.5625,-29.99333333,2009,atlantic_primates
3143,Primates,Atelidae,Alouatta,Alouatta guariba,-53.61444444,-29.98444444,2009,atlantic_primates
3144,Primates,Atelidae,Alouatta,Alouatta guariba,-52.01277778,-29.8308333,2009,atlantic_primates
3145,Primates,Atelidae,Alouatta,Alouatta guariba,-50.92416667,-29.4044444,2009,atlantic_primates
3146,Primates,Atelidae,Alouatta,Alouatta guariba,-50.82861111,-29.3863889,2009,atlantic_primates
3147,Primates,Atelidae,Alouatta,Alouatta guariba,-51.68777778,-28.5375,2009,atlantic_primates
3148,Primates,Atelidae,Alouatta,Alouatta guariba,-51.68805556,-28.5375,2009,atlantic_primates
3149,Primates,Atelidae,Alouatta,Alouatta guariba,-51.67916667,-28.6113889,2009,atlantic_primates
3150,Primates,Atelidae,Alouatta,Alouatta guariba,-51.66833333,-28.5202778,2009,atlantic_primates
3151,Primates,Atelidae,Alouatta,Alouatta guariba,-51.6394444,-28.60055556,2009,atlantic_primates
3152,Primates,Atelidae,Alouatta,Alouatta guariba,-51.42596663,-30.30166463,2008,atlantic_primates
3153,Primates,Atelidae,Alouatta,Alouatta guariba,-51.31527778,-30.14194444,2008,atlantic_primates
3154,Primates,Atelidae,Alouatta,Alouatta guariba,-51.44222222,-30.17138889,2009,atlantic_primates
3155,Primates,Atelidae,Alouatta,Alouatta guariba,-51.39416667,-30.1358333,2009,atlantic_primates
3156,Primates,Atelidae,Alouatta,Alouatta guariba,-51.3711111,-30.20416667,2009,atlantic_primates
3157,Primates,Atelidae,Alouatta,Alouatta guariba,-51.4983333,-30.22944444,2009,atlantic_primates
3158,Primates,Atelidae,Alouatta,Alouatta guariba,-51.4986111,-30.22972222,2009,atlantic_primates
3159,Primates,Atelidae,Alouatta,Alouatta guariba,-51.53,-30.19944444,2009,atlantic_primates
3160,Primates,Atelidae,Alouatta,Alouatta guariba,-51.47583333,-30.17111111,2009,atlantic_primates
3161,Primates,Atelidae,Alouatta,Alouatta guariba,-51.48305556,-30.17833333,2009,atlantic_primates
3162,Primates,Atelidae,Alouatta,Alouatta guariba,-51.62472222,-28.05083333,2009,atlantic_primates
3163,Primates,Atelidae,Alouatta,Alouatta guariba,-51.45666667,-27.69777778,2009,atlantic_primates
3164,Primates,Atelidae,Alouatta,Alouatta guariba,-51.63583333,-28.41111111,2009,atlantic_primates
3165,Primates,Atelidae,Alouatta,Alouatta guariba,-51.64583333,-28.4425,2009,atlantic_primates
3166,Primates,Atelidae,Alouatta,Alouatta guariba,-51.63527778,-28.425,2009,atlantic_primates
3167,Primates,Atelidae,Alouatta,Alouatta guariba,-51.56277778,-28.3102778,2009,atlantic_primates
3168,Primates,Atelidae,Alouatta,Alouatta guariba,-51.56083333,-28.3097222,2009,atlantic_primates
3169,Primates,Atelidae,Alouatta,Alouatta guariba,-51.57694444,-28.3205556,2009,atlantic_primates
3170,Primates,Atelidae,Alouatta,Alouatta guariba,-52.47833333,-28.61888889,2009,atlantic_primates
